,R_P,S_P
R_R-.S#.AV5,0.5158478764448762,0.4841521235551241
R_R-.S#.AV6,0.5174141136193241,0.4825858863806748
R_R-.S#.AV8,0.465771868878763,0.5342281311212377
R_R-.S#.AVB,0.47203506324049493,0.5279649367595037
R_R-.S#.AVP,0.49271267043044537,0.5072873295695548
R_R-.S#.AVR,0.42772461418603247,0.5722753858139662
R_R-.S#.AX1,0.5960133469287314,0.40398665307126885
R_R-.S#.AX2,0.528182928791472,0.4718170712085277
R_R-.S#.AX3,0.5972093522072675,0.4027906477927323
R_R-.S#.AX4,0.5586549664737824,0.44134503352621585
R_R-.S#.AX5,0.5613026205349944,0.43869737946500664
R_R-.S#.AX6,0.5815247307359372,0.4184752692640621
R_R-.S#.AX7,0.5332026168444782,0.46679738315552144
R_R-.S#.AX8,0.5804521826377174,0.4195478173622829
R_R-.S#.AX9,0.5149221497262437,0.48507785027375505
R_R-.S#.AXM,0.5504360335846555,0.44956396641534363
R_R-.S#.AXP,0.45944971823690295,0.5405502817630979
R_R-.S-,0.32035336556467003,0.6796466344353302
R_R-.S-.ANA,0.38455815526643494,0.6154418447335646
R_R-.S=,0.0,1.0
R_R/,0.2946362580618269,0.7053637419381731
R_R=,0.0,1.0
S_ANA,0.25198907177055574,0.7480109282294447
S_B!,1.0,0.0
S_B!.D=,1.0,0.0
S_B#,0.0,1.0
S_B+,0.417641855220516,0.5823581447794837
S_B+.D#,0.38667426048938014,0.6133257395106194
S_B+.D#.S#,0.3770257954166293,0.6229742045833706
S_B+.D#.S#.ACB,0.31181352572575194,0.6881864742742478
S_B+.D#.S#.ACF,0.39798990061981526,0.602010099380184
S_B+.D#.S#.APP,0.37231448796349703,0.6276855120365026
S_B+.D#.S#.AV5,0.4465649175211688,0.5534350824788312
S_B+.D#.S#.AV6,0.4092054968618626,0.5907945031381369
S_B+.D#.S#.AX1,0.3593721214211702,0.6406278785788307
S_B+.D#.S#.AX2,0.3647102532927109,0.6352897467072883
S_B+.D#.S#.AX4,0.4399788468415784,0.5600211531584223
S_B+.D#.S#.AX5,0.38393382166477097,0.6160661783352288
S_B+.D#.S#.AX6,0.35001182903611167,0.6499881709638875
S_B+.D#.S#.AX7,0.37697637421689,0.6230236257831097
S_B+.D#.S#.AX8,0.4048322514947742,0.5951677485052261
S_B+.D#.S#.AXM,0.40125191958928486,0.5987480804107148
S_B+.D#.S#.AXP,0.39046948132236187,0.6095305186776379
S_B+.D#.S-,0.6044256456254211,0.39557435437457833
S_B+.D#.S=,1.0,0.0
S_B+.D+,0.47916182623168746,0.5208381737683119
S_B+.D+.S#,0.457486983945932,0.5425130160540669
S_B+.D+.S#.ANA,0.49229461108272604,0.5077053889172743
S_B+.D+.S#.APP,0.5439803208806953,0.4560196791193051
S_B+.D+.S#.AV5,0.4636140272929297,0.5363859727070691
S_B+.D+.S#.AV6,0.4490636215647674,0.5509363784352311
S_B+.D+.S#.AV8,0.4702912275390825,0.5297087724609162
S_B+.D+.S#.AVB,0.5744431675953556,0.4255568324046435
S_B+.D+.S#.AVP,0.48616279403457224,0.5138372059654276
S_B+.D+.S#.AX5,0.4331216715658713,0.5668783284341286
S_B+.D+.S#.AX6,0.39740242644871854,0.6025975735512816
S_B+.D+.S#.AX8,0.5113783384009393,0.4886216615990602
S_B+.D+.S-,0.6285478431158422,0.37145215688415767
S_B+.D+.S-.ANA,0.6089265482141735,0.3910734517858257
S_B+.D+.S=,1.0,0.0
S_B-,0.6114685051300881,0.3885314948699097
S_B-.ANA,0.4119313358593767,0.5880686641406222
S_B-.D-,0.6227931733751653,0.37720682662483385
S_B-.D-.ANA,0.4733948523124844,0.5266051476875159
S_B/,0.5471523710222179,0.45284762897778164
S_B=,1.0,0.0
S_D#,0.39345450793096715,0.6065454920690327
S_D#.S#,0.382369338634808,0.6176306613651921
S_D#.S#.ACB,0.36639372080367666,0.6336062791963237
S_D#.S#.ACF,0.370783104249071,0.6292168957509297
S_D#.S#.ANA,0.4207844269203617,0.5792155730796384
S_D#.S#.APP,0.34850689749977853,0.6514931025002213
S_D#.S#.AV5,0.43828793340790556,0.5617120665920943
S_D#.S#.AV6,0.393921991185781,0.6060780088142176
S_D#.S#.AVP,0.4686513554522529,0.5313486445477473
S_D#.S#.AX1,0.37881252858199366,0.621187471418006
S_D#.S#.AX2,0.4048215435985547,0.5951784564014455
S_D#.S#.AX3,0.320096812348603,0.679903187651397
S_D#.S#.AX4,0.3893868550946219,0.6106131449053773
S_D#.S#.AX5,0.3828875109269576,0.6171124890730424
S_D#.S#.AX6,0.3725918748602404,0.62740812513976
S_D#.S#.AX7,0.35497061538022096,0.6450293846197789
S_D#.S#.AX8,0.42821608994482674,0.5717839100551733
S_D#.S#.AX9,0.3776199705715729,0.6223800294284265
S_D#.S#.AXM,0.3673812895116333,0.6326187104883658
S_D#.S#.AXP,0.434672193722049,0.565327806277949
S_D#.S-,0.601691351909901,0.3983086480900977
S_D#.S=,1.0,0.0
S_D+,0.48192311524610376,0.5180768847538959
S_D+.ANA,0.4333355521734494,0.5666644478265497
S_D+.S#,0.4605292559887528,0.539470744011247
S_D+.S#.ANA,0.5025478822014081,0.497452117798592
S_D+.S#.APP,0.4304419859408498,0.5695580140591497
S_D+.S#.AV5,0.4640949274261804,0.5359050725738193
S_D+.S#.AV6,0.45230882181173937,0.5476911781882607
S_D+.S#.AV8,0.5138982336570453,0.4861017663429536
S_D+.S#.AVB,0.5179782879161536,0.48202171208384503
S_D+.S#.AVP,0.4904385332781886,0.5095614667218114
S_D+.S#.AVR,0.543857509022674,0.4561424909773256
S_D+.S#.AX1,0.5045520525914892,0.4954479474085107
S_D+.S#.AX3,0.47036542910113427,0.5296345708988648
S_D+.S#.AX4,0.5122633167039792,0.48773668329602077
S_D+.S#.AX5,0.43372234723454317,0.5662776527654562
S_D+.S#.AX6,0.40915144166374573,0.590848558336254
S_D+.S#.AX8,0.5007215354052699,0.49927846459472935
S_D+.S#.AX9,0.40993598597818603,0.5900640140218131
S_D+.S#.AXP,0.47029641679459505,0.5297035832054048
S_D+.S-,0.6445817428253886,0.35541825717461195
S_D+.S-.ANA,0.5995104643958162,0.4004895356041841
S_D+.S-.F=,1.0,0.0
S_D+.S=,1.0,0.0
S_D-,0.6315614871499062,0.3684385128500923
S_D-.ANA,0.5124321026113956,0.4875678973886036
S_D-.S#,0.5759315544152861,0.424068445584712
S_D-.S#.ANA,0.5759315544152861,0.424068445584712
S_D-.S-,0.617540451019195,0.3824595489808055
S_D-.S=,1.0,0.0
S_D=,1.0,0.0
S_F!,0.34032431417953735,0.659675685820463
S_F!.S#,0.34032431417953735,0.659675685820463
S_F!.S#.ACB,0.40735033627807093,0.5926496637219272
S_F!.S#.APP,0.26846972950162123,0.7315302704983776
S_F!.S#.AX1,0.3124176896352649,0.6875823103647356
S_F!.S#.AX5,0.3666383618432926,0.6333616381567071
S_F!.S#.AX6,0.30791675527291495,0.6920832447270855
S_F!.S#.AXM,0.32674807013080875,0.673251929869191
S_F#,0.30479293495964593,0.6952070650403538
S_F#.S#,0.30479293495964593,0.6952070650403538
S_F#.S#.ACF,0.3319831120543606,0.6680168879456395
S_F#.S#.APP,0.25911049735785374,0.7408895026421459
S_F#.S#.AX1,0.2675668324793133,0.7324331675206874
S_F#.S#.AX2,0.1687804687995519,0.8312195312004483
S_F#.S#.AX5,0.3305862002290351,0.669413799770965
