state,next_state,prob
R_B+.D#.S#.AXM,S_B#,0.0597014925373134
R_B+.D#.S#.AXM,S_B+,0.119402985074627
R_B+.D#.S#.AXM,S_B-,0.0298507462686567
R_B+.D#.S#.AXM,S_B/,0.0447761194029851
R_B+.D#.S#.AXM,S_B=,0.104477611940299
R_B+.D#.S#.AXM,S_D#,0.0746268656716418
R_B+.D#.S#.AXM,S_D+,0.17910447761194
R_B+.D#.S#.AXM,S_D-,0.0597014925373134
R_B+.D#.S#.AXM,S_D=,0.0746268656716418
R_B+.D#.S#.AXM,S_P,0.0895522388059701
R_B+.D#.S#.AXP,R_P,0.102803738317757
R_B+.D#.S#.AXP,S_B!,0.0186915887850467
R_B+.D#.S#.AXP,S_B#,0.0373831775700935
R_B+.D#.S#.AXP,S_B+,0.0560747663551402
R_B+.D#.S#.AXP,S_B-,0.0186915887850467
R_B+.D#.S#.AXP,S_B=,0.102803738317757
R_B+.D#.S#.AXP,S_D#,0.0560747663551402
R_B+.D#.S#.AXP,S_D+,0.196261682242991
R_B+.D#.S#.AXP,S_D-,0.0841121495327103
R_B+.D#.S#.AXP,S_D=,0.158878504672897
R_B+.D#.S#.AXP,S_P,0.168224299065421
R_B+.D#.S=,S_P,1
R_B+.D+,R_B+.D+.S#,0.922396856581532
R_B+.D+,R_B+.D+.S-,0.0771119842829077
R_B+.D+,S_F#,0.000491159135559921
R_B+.D+.S#,R_B+.D+.S#.ANA,0.060702875399361
R_B+.D+.S#,R_B+.D+.S#.AV5,0.512247071352503
R_B+.D+.S#,R_B+.D+.S#.AV6,0.152822151224707
R_B+.D+.S#,R_B+.D+.S#.AVP,0.0575079872204473
R_B+.D+.S#,R_B+.D+.S#.AX5,0.171458998935037
R_B+.D+.S#,R_B+.D+.S#.AX6,0.0452609158679446
R_B+.D+.S#.ANA,R_P,0.0789473684210526
R_B+.D+.S#.ANA,S_B!,0.0175438596491228
R_B+.D+.S#.ANA,S_B#,0.0789473684210526
R_B+.D+.S#.ANA,S_B+,0.087719298245614
R_B+.D+.S#.ANA,S_B/,0.0701754385964912
R_B+.D+.S#.ANA,S_B=,0.087719298245614
R_B+.D+.S#.ANA,S_D#,0.192982456140351
R_B+.D+.S#.ANA,S_D+,0.201754385964912
R_B+.D+.S#.ANA,S_D-,0.043859649122807
R_B+.D+.S#.ANA,S_P,0.140350877192982
R_B+.D+.S#.AV5,R_P,0.0665280665280665
R_B+.D+.S#.AV5,S_B!,0.0322245322245322
R_B+.D+.S#.AV5,S_B#,0.0852390852390852
R_B+.D+.S#.AV5,S_B+,0.14968814968815
R_B+.D+.S#.AV5,S_B-,0.0187110187110187
R_B+.D+.S#.AV5,S_B/,0.0415800415800416
R_B+.D+.S#.AV5,S_B=,0.124740124740125
R_B+.D+.S#.AV5,S_D#,0.155925155925156
R_B+.D+.S#.AV5,S_D+,0.146569646569647
R_B+.D+.S#.AV5,S_D-,0.0280665280665281
R_B+.D+.S#.AV5,S_D=,0.0644490644490645
R_B+.D+.S#.AV5,S_P,0.0862785862785863
R_B+.D+.S#.AV6,R_P,0.0940766550522648
R_B+.D+.S#.AV6,S_B!,0.0418118466898955
R_B+.D+.S#.AV6,S_B#,0.0731707317073171
R_B+.D+.S#.AV6,S_B+,0.114982578397213
R_B+.D+.S#.AV6,S_B-,0.0139372822299652
R_B+.D+.S#.AV6,S_B/,0.0592334494773519
R_B+.D+.S#.AV6,S_B=,0.104529616724739
R_B+.D+.S#.AV6,S_D#,0.139372822299652
R_B+.D+.S#.AV6,S_D+,0.128919860627178
R_B+.D+.S#.AV6,S_D-,0.0418118466898955
R_B+.D+.S#.AV6,S_D=,0.0696864111498258
R_B+.D+.S#.AV6,S_P,0.118466898954704
R_B+.D+.S#.AVP,R_P,0.0925925925925926
R_B+.D+.S#.AVP,S_B!,0.0185185185185185
R_B+.D+.S#.AVP,S_B#,0.0648148148148148
R_B+.D+.S#.AVP,S_B+,0.0833333333333333
R_B+.D+.S#.AVP,S_B-,0.00925925925925926
R_B+.D+.S#.AVP,S_B/,0.0185185185185185
R_B+.D+.S#.AVP,S_B=,0.0555555555555556
R_B+.D+.S#.AVP,S_D#,0.203703703703704
R_B+.D+.S#.AVP,S_D+,0.212962962962963
R_B+.D+.S#.AVP,S_D-,0.0555555555555556
R_B+.D+.S#.AVP,S_D=,0.0740740740740741
R_B+.D+.S#.AVP,S_P,0.111111111111111
R_B+.D+.S#.AX5,R_P,0.046583850931677
R_B+.D+.S#.AX5,S_B!,0.0248447204968944
R_B+.D+.S#.AX5,S_B#,0.114906832298137
R_B+.D+.S#.AX5,S_B+,0.130434782608696
R_B+.D+.S#.AX5,S_B-,0.0093167701863354
R_B+.D+.S#.AX5,S_B/,0.0590062111801242
R_B+.D+.S#.AX5,S_B=,0.142857142857143
R_B+.D+.S#.AX5,S_D#,0.108695652173913
R_B+.D+.S#.AX5,S_D+,0.152173913043478
R_B+.D+.S#.AX5,S_D-,0.0403726708074534
R_B+.D+.S#.AX5,S_D=,0.093167701863354
R_B+.D+.S#.AX5,S_P,0.077639751552795
R_B+.D+.S#.AX6,R_P,0.0823529411764706
R_B+.D+.S#.AX6,S_B!,0.0117647058823529
R_B+.D+.S#.AX6,S_B#,0.0235294117647059
R_B+.D+.S#.AX6,S_B+,0.176470588235294
R_B+.D+.S#.AX6,S_B/,0.0705882352941176
